SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
2007223N19136,SEPAT,2007,2007-08-15,2007-08-25,8
2007257N16134,WIPHA,2007,2007-09-16,2007-09-19,1
2007265N20122,FRANCISCO,2007,2007-09-20,2007-09-27,5
2007272N17125,LEKIMA,2007,2007-09-27,2007-10-05,7
2007274N18131,KROSA,2007,2007-10-04,2007-10-07,2
2007306N18133,PEIPAH,2007,2007-11-03,2007-11-11,7
2007323N09128,HAGIBIS,2007,2007-11-18,2007-11-28,9
2007324N10140,MITAG,2007,2007-11-23,2007-11-28,3
2008012N12123,UNNAMED,2008,2008-01-11,2008-01-18,6
2008104N08128,NEOGURI,2008,2008-04-12,2008-04-20,7
2008135N16125,MATMO,2008,2008-05-12,2008-05-16,2
2008135N12116,HALONG,2008,2008-05-13,2008-05-19,5
2008169N08135,FENGSHEN,2008,2008-06-19,2008-06-27,6
2008193N20126,KALMAEGI,2008,2008-07-13,2008-07-18,4
2008206N22133,FUNG-WONG,2008,2008-07-26,2008-07-29,2
2008217N19120,KAMMURI,2008,2008-08-02,2008-08-09,5
2008224N24122,UNNAMED,2008,2008-08-10,2008-08-12,1
2008229N13147,NURI,2008,2008-08-18,2008-08-24,4
2008238N13130,UNNAMED,2008,2008-08-25,2008-08-30,3
2008252N16128,SINLAKU,2008,2008-09-08,2008-09-15,5
2008262N16142,HAGUPIT,2008,2008-09-20,2008-09-26,5
2008268N12140,JANGMI,2008,2008-09-26,2008-09-29,2
2008272N15113,MEKKHALA,2008,2008-09-26,2008-10-01,4
2008272N08139,HIGOS,2008,2008-09-29,2008-10-07,6
2008286N17109,UNNAMED,2008,2008-10-11,2008-10-16,4
2008311N08128,MAYSAK,2008,2008-11-05,2008-11-14,8
2008320N08122,NOUL,2008,2008-11-13,2008-11-18,4
2009121N13124,KUJIRA,2009,2009-04-29,2009-05-04,3
2009123N10111,CHAN-HOM,2009,2009-05-01,2009-05-09,6
2009164N10131,LINFA,2009,2009-06-13,2009-06-22,7
2009173N10132,NANGKA,2009,2009-06-22,2009-06-28,4
2009189N17129,SOUDELOR,2009,2009-07-08,2009-07-13,4
